! I B -9.361943773735241
! O B -5.147094293061428
! O I -5.223149940409189
! O O -6.017936225490436
!! O B -8.085693748397285
!! O I -7.725650280938373
!! O O -8.61220646843782
!!! O B -8.67065624911844
!!! O I -9.310612781659529
!!! O O -9.416063946259197
!!!! O I -9.310612781659529
!!!! O O -10.976778900733677
!!!!! O I -9.310612781659529
!!!!! O O -12.491352073563435
!: O O -12.713744494899883
driving O O -11.976778900733677
drug O O -12.298706995621039
drunk O O -12.713744494899883
due O O -12.713744494899883
during O B -8.67065624911844
during O O -12.298706995621039
each O B -9.67065624911844
each O O -12.491352073563435
earlier O I -8.310612781659529
earlier O O -13.298706995621039
early O O -11.298706995621039
easy O O -12.713744494899883
eat O O -12.713744494899883
een O O -12.298706995621039
else O O -12.128781994178727
em O O -12.491352073563435
email O O -12.491352073563435
end O O -11.39181640001252
enjoy O O -12.298706995621039
enter O O -12.713744494899883
epic O O -12.491352073563435
even O * -10.136350341454156
even O O -10.254312876262585
evening O O -12.491352073563435
event O B -9.67065624911844
event O I -9.310612781659529
event O O -13.298706995621039
ever O B -9.67065624911844
ever O O -11.598267277479946
every O * -9.551387840733
every O O -10.298706995621039
everyday O O -12.491352073563435
everyone O O -11.39181640001252
everything O O -11.491352073563435
excited O O -10.775145039564027
extra O O -12.713744494899883
face O O -11.976778900733677
facebook B O -7.8030547846239795
faces O B -8.67065624911844
faces O O -13.298706995621039
failed O O -12.713744494899883
fall O O -12.713744494899883
family I B -9.361943773735241
family O B -9.67065624911844
family O O -12.976778900733677
fans O B -8.085693748397285
fans O I -9.310612781659529
fans O O -12.976778900733677
far O O -12.128781994178727
fast O I -9.310612781659529
fast O O -12.491352073563435
favorite O O -12.491352073563435
feel O O -10.654850805846316
feeling O O -11.128781994178727
few O O -10.491352073563435
finally O O -12.128781994178727
find O O -11.2112441543707
first O O -10.128781994178727
five O O -12.298706995621039
follow O O -11.491352073563435
followers O O -11.713744494899883
following O O -12.713744494899883
food O B -9.67065624911844
food O O -12.713744494899883
foot O O -12.713744494899883
football I B -9.361943773735241
football O * -11.136350341454156
football O B -8.67065624911844
football O O -13.713744494899883
for O B -6.085693748397285
for O I -5.988684686772166
for O O -6.8599151430427785
forget O * -11.136350341454156
forget O O -11.976778900733677
forward O O -12.128781994178727
found O * -11.136350341454156
found O O -11.298706995621039
free O B -9.67065624911844
free O O -11.2112441543707
fresh O O -12.491352073563435
friday O * -11.136350341454156
friday O O -10.39181640001252
friend O O -12.128781994178727
friends O O -11.050779482177454
from O B -9.67065624911844
from O I -8.310612781659529
from O O -8.775145039564027
front O O -12.713744494899883
fucking O O -12.298706995621039
full O O -11.598267277479946
fun O O -11.2112441543707
funny I B -9.361943773735241
funny O O -12.713744494899883
game O * -11.136350341454156
game O B -7.670656249118441
game O O -10.298706995621039
games O B -8.67065624911844
games O O -12.713744494899883
get O * -11.136350341454156
get O B -8.67065624911844
get O I -9.310612781659529
get O O -8.050779482177454
gets O B -7.670656249118441
gets O O -11.83927537698374
getting O O -11.050779482177454
girl O O -11.598267277479946
give O O -11.298706995621039
giving O O -12.713744494899883
glad O O -12.713744494899883
go O B -9.67065624911844
go O O -8.713744494899883
goes O B -8.67065624911844
goes O O -11.713744494899883
goin O O -12.491352073563435
going O * -8.551387840733
going O O -9.321427072121121
gone I I -8.2667865406949
gone O O -11.83927537698374
gonna O O -10.254312876262585
good O * -10.136350341454156
good O O -9.254312876262585
got O B -9.67065624911844
got O O -9.069888305125158
great O O -10.440726000493466
group O O -12.713744494899883
guess O O -12.491352073563435
guy O O -12.128781994178727
guys O O -11.83927537698374
gym O * -11.136350341454156
gym O O -12.713744494899883
ha O O -12.128781994178727
had O * -11.136350341454156
had O I -8.310612781659529
had O O -9.440726000493466
haha O * -10.136350341454156
haha O I -9.310612781659529
haha O O -11.298706995621039
hair O O -11.298706995621039
half O O -11.976778900733677
hang O O -12.713744494899883
happen O O -12.298706995621039
happens O O -12.491352073563435
happy O O -10.839275376983743
hard O O -12.298706995621039
has O B -8.085693748397285
has O I -6.725650280938373
has O O -9.941154991002955
hate O O -10.543819493457569
have O * -11.136350341454156
have O B -8.67065624911844
have O I -9.310612781659529
have O O -7.713744494899883
haven't O O -12.128781994178727
having O O -11.598267277479946
he O * -11.136350341454156
he O O -9.148959876116358
head O B -9.67065624911844
head O O -11.598267277479946
heard O O -12.491352073563435
heart O O -11.713744494899883
help O O -11.598267277479946
her O O -9.465816981456296
here O B -9.67065624911844
here O I -9.310612781659529
here O O -10.128781994178727
hey O O -12.128781994178727
high I B -9.361943773735241
high O O -11.83927537698374
him O O -10.169423978676072
his O O -9.654850805846316
hit O O -12.128781994178727
hold O O -12.713744494899883
