! O O -6.017936225490436
! O company -5.366322214245815
! O facility -4.643856189774725
! O loc -5.03342300153745
! O musicartist -5.7279204545632
! O other -5.189824558880018
! O person -5.4561490346479955
! O product -5.569855608330948
! O sportsteam -3.6438561897747244
! O tvshow -5.044394119358453
! other other -8.326429487122303
!! O O -8.61220646843782
!! O company -7.366322214245815
!! O facility -6.643856189774725
!! O other -7.774787059601174
!! O person -8.778077129535358
!! O sportsteam -5.643856189774724
!! O tvshow -5.044394119358453
!!! O O -9.416063946259197
!!! O movie -5.08746284125034
!!! O person -8.778077129535358
!!! O tvshow -5.044394119358453
!!!! O O -10.976778900733677
!!!! O person -8.778077129535358
!!!!! O O -12.491352073563435
!!!!! O facility -6.643856189774725
!: O O -12.713744494899883
$RARE$ product * -0.2630344058337939
$RARE$ product O -0.0885366746016567
$RARE$ product product -0.3174821898561708
$RARE$ sportsteam * -0.3625700793847084
$RARE$ sportsteam O -0.14809863898913367
$RARE$ sportsteam loc 0.0
$RARE$ sportsteam sportsteam -0.06413033741971574
$RARE$ tvshow O -0.502500340529183
$RARE$ tvshow tvshow -0.4947646917495785
&amp; O O -9.031920454926137
&amp; O loc -7.03342300153745
&amp; O musicartist -5.7279204545632
&amp; O person -6.778077129535358
&amp; movie movie -4.523561956057013
&amp; musicartist musicartist -5.930737337562887
&amp; other other -6.7414669864011465
&gt; O O -10.543819493457569
&lt; O * -10.136350341454156
&lt; O O -8.889316059483336
&lt; O musicartist -5.7279204545632
&lt; O other -7.774787059601174
&lt; O person -7.778077129535358
&lt; O product -6.569855608330948
&quot; O * -9.136350341454156
&quot; O O -10.298706995621039
&quot; O movie -4.08746284125034
&quot; O other -6.774787059601174
&quot; person person -6.74819284958946
' O * -10.136350341454156
' O O -9.465816981456296
' O movie -3.502500340529184
' O other -6.774787059601174
' O person -7.778077129535358
' company company -5.169925001442312
' other other -8.326429487122303
'I O * -8.551387840733
'RT O * -7.551387840733
'll O O -11.976778900733677
'm O O -10.654850805846316
're O O -12.491352073563435
's O O -7.0650873188613375
's O company -5.366322214245815
's O facility -6.643856189774725
's O loc -7.03342300153745
's O other -6.189824558880018
's O person -4.530149616091773
's O product -6.569855608330948
's O tvshow -5.044394119358453
's facility facility -6.727920454563199
's movie movie -4.523561956057013
's other other -5.519074565064699
's product product -6.339850002884625
's tvshow tvshow -4.954196310386876
've O O -11.598267277479946
( O * -11.136350341454156
( O O -8.61220646843782
( O facility -5.643856189774725
( O loc -8.03342300153745
( O movie -4.08746284125034
( O musicartist -4.7279204545632
( O other -5.774787059601174
( O person -6.778077129535358
( O product -6.569855608330948
( O sportsteam -5.643856189774724
( other other -8.326429487122303
) O O -8.806853899291365
) O company -5.781359713524659
) O facility -6.643856189774725
) O loc -7.03342300153745
) O other -7.774787059601174
) O person -8.778077129535358
) other other -7.326429487122303
* * * 0.0
* O O -13.713744494899883
+ O O -11.976778900733677
, O O -5.651248569166118
, O company -5.0443941193584525
, O facility -4.058893689053569
, O loc -3.0792266911505743
, O movie -3.08746284125034
, O musicartist -4.142957953842044
, O other -4.452858964713811
, O person -3.318645510898061
, O product -3.7625006862733437
, O sportsteam -5.643856189774724
, musicartist musicartist -5.930737337562887
- O * -10.136350341454156
- O O -8.453216944676663
- O company -4.781359713524659
- O facility -6.643856189774725
- O loc -5.711494906650088
- O movie -4.08746284125034
- O musicartist -5.7279204545632
- O other -4.96743213754357
- O person -7.778077129535358
- O tvshow -4.044394119358453
-- O O -10.543819493457569
-- O loc -7.03342300153745
-_- O O -12.713744494899883
. O O -4.8311014455380406
. O company -4.366322214245815
. O facility -3.1844245711374275
. O loc -3.448460500816293
. O movie -4.08746284125034
. O musicartist -4.7279204545632
. O other -3.867896463992655
. O person -4.193114628814201
. O product -3.11042398969365
. O sportsteam -4.643856189774724
. O tvshow -5.044394119358453
. loc loc -5.700439718141093
. other other -7.326429487122303
. person person -5.426264754702098
." O O -11.976778900733677
." O other -7.774787059601174
.. O * -10.136350341454156
.. O O -8.491352073563435
.. O loc -8.03342300153745
.. O sportsteam -5.643856189774724
... O * -8.814422246566794
... O O -6.669350375541429
... O company -6.366322214245815
... O facility -6.643856189774725
... O loc -5.448460500816294
... O musicartist -5.7279204545632
... O other -6.774787059601174
... O person -5.778077129535358
... O product -4.247927513443585
... O tvshow -5.044394119358453
..." O O -11.050779482177454
...' O O -12.713744494899883
.... O * -11.136350341454156
.... O O -9.839275376983743
.... O company -6.366322214245815
.... O loc -7.03342300153745
.... O person -8.778077129535358
..... O O -11.976778900733677
..... O company -7.366322214245815
...... O O -12.491352073563435
...: O O -12.713744494899883
...: O loc -7.03342300153745
1 O * -10.136350341454156
1 O O -10.344510685234162
1 O company -7.366322214245815
1 movie movie -5.523561956057013
1 other other -8.326429487122303
10 O * -11.136350341454156
10 O O -10.839275376983743
106 O O -12.713744494899883
11 O O -12.713744494899883
11 other O -7.6147098441152075
13 O O -12.713744494899883
17 O O -11.128781994178727
18 O * -11.136350341454156
18 O O -11.976778900733677
1st O O -11.976778900733677
1st other O -7.6147098441152075
2 O * -9.136350341454156
2 O O -9.031920454926137
2 O other -6.774787059601174
2 movie movie -3.938599455335857
2 other other -6.7414669864011465
20 O O -11.2112441543707
2010 O O -10.39181640001252
2010 other other -6.7414669864011465
22 O O -12.491352073563435
23 O O -12.491352073563435
3 O * -9.136350341454156
3 O O -9.069888305125158
3 movie movie -5.523561956057013
3 other other -8.326429487122303
30 O * -11.136350341454156
30 O O -12.128781994178727
30,000 O O -12.713744494899883
3D O O -13.298706995621039
3D company company -4.169925001442312
3D movie movie -5.523561956057013
4 O O -10.298706995621039
4 O facility -6.643856189774725
4 product product -6.339850002884625
5 O * -11.136350341454156
5 O O -11.39181640001252
5 musicartist musicartist -5.930737337562887
50 O O -12.713744494899883
50 O company -5.781359713524659
50 person O -8.643856189774725
6 O * -11.136350341454156
6 O O -11.128781994178727
6 O product -6.569855608330948
7 O O -11.976778900733677
8 O O -11.39181640001252
8 product product -6.339850002884625
9 O O -12.491352073563435
: O * -11.136350341454156
: O O -5.941154991002955
: O company -4.781359713524659
: O facility -5.643856189774725
: O loc -5.03342300153745
: O musicartist -4.7279204545632
: O other -4.3153554409638755
: O person -5.4561490346479955
: O product -4.984893107609792
: O sportsteam -5.643856189774724
: other other -6.7414669864011465
: product product -5.339850002884625
:' O O -12.713744494899883
:' O movie -5.08746284125034
:( O * -10.136350341454156
:( O O -10.839275376983743
:( O musicartist -4.7279204545632
:) O O -8.2112441543707
:) O loc -7.03342300153745
:) O person -7.778077129535358
:) O product -6.569855608330948
:-) O O -12.713744494899883
:/ O O -11.976778900733677
:D O O -9.683997151505832
:D O facility -6.643856189774725
:D O loc -8.03342300153745
:P O O -12.128781994178727
; O * -11.136350341454156
; O O -10.839275376983743
; O person -7.778077129535358
;) O O -10.440726000493466
;) O other -7.774787059601174
;-) O O -12.298706995621039
= O O -12.128781994178727
= O company -7.366322214245815
= O facility -5.643856189774725
? O O -7.270800999051154
? O company -7.366322214245815
? O loc -6.448460500816294
? O musicartist -5.7279204545632
? O other -7.774787059601174
? O person -7.778077129535358
? O product -6.569855608330948
? O sportsteam -4.643856189774724
? O tvshow -4.044394119358453
? musicartist musicartist -5.930737337562887
?! O O -11.83927537698374
?? O O -10.775145039564027
?? O loc -6.448460500816294
??? O O -12.491352073563435
@ O * -11.136350341454156
@ O O -11.598267277479946
@ O facility -6.643856189774725
@ O other -7.774787059601174
@ O sportsteam -5.643856189774724
@ O tvshow -5.044394119358453
@ other other -8.326429487122303
@LightCMS O * -11.136350341454156
@LightCMS O O -12.713744494899883
@Sexstrology O * -11.136350341454156
@Sexstrology O O -12.713744494899883
@SouljaBoy O O -12.713744494899883
@WakaFlocka1017 O O -12.713744494899883
@ZodiacFacts O O -12.713744494899883
@justinbieber O * -8.814422246566794
@justinbieber O O -12.298706995621039
A O * -7.551387840733
A O O -9.713744494899881
A movie movie -5.523561956057013
A other O -7.6147098441152075
A other other -7.326429487122303
ABOUT O O -12.713744494899883
ALL O * -11.136350341454156
ALL O O -12.298706995621039
AND O * -11.136350341454156
AND O O -12.298706995621039
AND O company -7.366322214245815
AND O musicartist -5.7279204545632
AND O person -8.778077129535358
AROUND O O -12.713744494899883
About O * -9.551387840733
About O O -12.976778900733677
After O * -8.328995419396552
After O O -11.128781994178727
After product * -3.5849625007211565
Ah O * -9.551387840733
Ah O O -13.298706995621039
All O * -8.814422246566794
All O O -11.713744494899883
All other other -8.326429487122303
And O * -9.551387840733
And O O -10.298706995621039
And O company -6.366322214245815
Anyone O * -9.551387840733
Anyone O O -13.713744494899883
Are O * -11.136350341454156
Are O O -13.298706995621039
Are other other -8.326429487122303
As O * -11.136350341454156
As O O -12.128781994178727
At O * -11.136350341454156
At O O -12.491352073563435
Awesome O * -10.136350341454156
Awesome O O -13.298706995621039
B O O -12.976778900733677
B person person -7.74819284958946
BUT O O -12.128781994178727
BUY O O -12.713744494899883
Be O O -11.976778900733677
Before O * -11.136350341454156
Before O O -12.128781994178727
Best O * -9.551387840733
Best O O -13.713744494899883
Bieber person person -4.047753131448367
Birthday O O -12.713744494899883
Birthday O person -8.778077129535358
Boy O O -14.298706995621039
Boy musicartist musicartist -5.930737337562887
Boy other other -8.326429487122303
Boy person person -5.426264754702098
But O * -9.551387840733
But O O -11.050779482177454
Can O * -10.136350341454156
Can O O -13.298706995621039
Can't O * -11.136350341454156
Can't O O -11.83927537698374
Check O * -9.551387840733
Check O O -12.128781994178727
Chicago loc * -3.700439718141092
Chicago loc O -5.426264754702098
Chicago loc loc -5.700439718141093
Chicago sportsteam * -3.1699250014423126
Club O O -15.298706995621039
Club facility facility -5.142957953842043
Club product O -5.39231742277876
Come O * -11.136350341454156
Come O O -12.298706995621039
D O O -11.976778900733677
DAY O O -12.128781994178727
DAY other other -7.326429487122303
DJ O * -11.136350341454156
DJ O musicartist -5.7279204545632
DJ musicartist O -4.058893689053568
DJ other O -7.6147098441152075
DOG O O -12.713744494899883
Damn O * -9.551387840733
Damn O O -13.298706995621039
Day O * -9.136350341454156
Day O O -10.654850805846316
Day O person -8.778077129535358
Day facility facility -6.727920454563199
Day movie movie -5.523561956057013
Day musicartist musicartist -4.930737337562887
Day other other -3.934112064343542
Days O O -12.976778900733677
Days musicartist musicartist -5.930737337562887
Days other other -6.326429487122303
Did O * -10.136350341454156
Did O O -12.491352073563435
Do O * -9.136350341454156
Do O O -11.713744494899883
Drama O O -12.491352073563435
Drama other other -8.326429487122303
Edition O O -12.491352073563435
Edition other other -8.326429487122303
Excuses O O -12.713744494899883
FOLLOW O O -12.298706995621039
FOR O O -12.491352073563435
FOR O company -6.366322214245815
FREE O * -11.136350341454156
FREE O O -12.491352073563435
FRIDAY O * -9.551387840733
FRIDAY O O -12.298706995621039
Facebook company * -4.08746284125034
Facebook company O -4.94485844580754
Favorite O O -12.128781994178727
Festival other other -5.7414669864011465
Find O * -10.136350341454156
Find O O -13.298706995621039
First O * -10.136350341454156
First O O -12.298706995621039
First facility O -6.569855608330948
First other * -4.754887502163469
Five O * -11.136350341454156
Five O O -12.976778900733677
Follow O * -11.136350341454156
Follow O O -12.298706995621039
Football O * -9.551387840733
Football O O -14.298706995621039
Football other other -8.326429487122303
For O * -9.136350341454156
For O O -11.598267277479946
Free O * -10.136350341454156
Free O O -12.491352073563435
Friday O * -9.551387840733
Friday O O -9.543819493457569
Friday other other -7.326429487122303
Friday tvshow O -4.08746284125034
From O * -11.136350341454156
From O O -12.298706995621039
GET O O -11.976778900733677
Get O O -11.598267277479946
Get O tvshow -5.044394119358453
Get musicartist musicartist -5.930737337562887
Give O O -12.713744494899883
Go O O -12.298706995621039
God O O -12.713744494899883
God person O -5.473931188332413
Going O * -8.551387840733
Going O O -13.713744494899883
Good O * -8.328995419396552
Good O O -11.298706995621039
Good facility * -3.0
Good other O -7.6147098441152075
Goodnight O * -10.136350341454156
Goodnight O O -13.298706995621039
Gotta O * -8.814422246566794
Gotta O O -15.298706995621039
Great O * -9.551387840733
Great O O -13.298706995621039
Great other O -7.6147098441152075
HAPPY O * -10.136350341454156
HAPPY O O -13.298706995621039
HAVE O * -11.136350341454156
HAVE O O -12.298706995621039
Had O * -9.551387840733
Had O O -12.298706995621039
Haha O * -9.551387840733
Haha O O -11.976778900733677
Happy O * -8.814422246566794
Happy O O -11.83927537698374
Happy loc O -8.011227255423254
Have O * -9.136350341454156
Have O O -11.298706995621039
Have O person -8.778077129535358
He O * -11.136350341454156
He O O -11.050779482177454
He other O -7.6147098441152075
Here O * -11.136350341454156
Here O O -12.128781994178727
Hey O * -9.136350341454156
Hey O O -12.976778900733677
Hope O * -10.136350341454156
Hope O O -11.598267277479946
How O * -8.814422246566794
How O O -11.128781994178727
I O * -4.449849814270937
I O O -5.943355899196227
I O other -7.774787059601174
I O person -7.778077129535358
I other other -8.326429487122303
I'd O O -11.976778900733677
I'd O company -7.366322214245815
I'll O * -10.136350341454156
I'll O O -10.598267277479946
I'm O * -7.328995419396552
I'm O O -8.713744494899883
I've O * -9.551387840733
I've O O -10.839275376983743
IF O * -11.136350341454156
IF O O -12.491352073563435
IN O O -12.976778900733677
IN O facility -6.643856189774725
IS O O -12.298706995621039
IS O musicartist -4.7279204545632
IS O person -8.778077129535358
IT O O -11.713744494899883
IT musicartist musicartist -5.930737337562887
If O * -7.551387840733
If O O -10.976778900733677
Im O * -9.551387840733
Im O O -12.128781994178727
In O * -9.551387840733
In O O -12.491352073563435
In O loc -8.03342300153745
In movie movie -5.523561956057013
Is O * -7.814422246566793
Is O O -11.491352073563435
Is O person -8.778077129535358
Is other other -8.326429487122303
It O * -7.136350341454156
It O O -9.543819493457569
It other O -7.6147098441152075
Its O * -9.136350341454156
Its O O -12.713744494899883
Its O facility -6.643856189774725
J O * -11.136350341454156
J O O -13.298706995621039
J person O -8.643856189774725
JOKE O O -12.713744494899883
John other other -8.326429487122303
John person * -5.523561956057013
John person O -6.3219280948873635
John person person -7.74819284958946
Just O * -7.551387840733
Just O O -10.775145039564027
Just O person -8.778077129535358
Just other other -8.326429487122303
Justin O O -15.298706995621039
Justin person * -5.523561956057013
Justin person O -4.473931188332413
L O O -11.976778900733677
L musicartist musicartist -5.930737337562887
L person person -6.74819284958946
LIKE O O -12.298706995621039
LOL O * -11.136350341454156
LOL O O -11.39181640001252
Last O * -9.551387840733
Last O O -13.298706995621039
Last other O -7.6147098441152075
Let O * -8.814422246566794
Let O O -12.298706995621039
Like O O -12.298706995621039
Lindsay person * -4.523561956057013
Lindsay person O -5.321928094887363
Lohan person * -3.938599455335857
Lohan person person -4.426264754702097
Lol O * -10.136350341454156
Lol O O -11.713744494899883
Lol O other -7.774787059601174
London O O -15.298706995621039
London loc O -6.011227255423254
London other O -7.6147098441152075
London sportsteam O -5.357552004618084
Long O * -11.136350341454156
Long O O -12.491352073563435
Long facility facility -6.727920454563199
Long loc O -7.011227255423254
Looking O * -10.136350341454156
Looking O O -13.298706995621039
Looks O * -11.136350341454156
Looks O O -12.976778900733677
Love O * -10.136350341454156
Love O O -11.39181640001252
Love other other -8.326429487122303
ME O O -11.128781994178727
ME O other -7.774787059601174
MY O O -12.128781994178727
Man O * -8.551387840733
Man O O -13.713744494899883
Man movie movie -5.523561956057013
Man other other -8.326429487122303
May O * -10.136350341454156
May O O -11.39181640001252
May O other -7.774787059601174
Maybe O * -10.136350341454156
Maybe O O -13.298706995621039
Me O O -11.976778900733677
Monday O O -11.298706995621039
More O O -12.713744494899883
Music O * -11.136350341454156
Music O O -14.298706995621039
Music facility O -6.569855608330948
Music other O -7.6147098441152075
Music product O -6.39231742277876
Music product product -5.339850002884625
My O * -7.328995419396552
My O O -10.775145039564027
My other other -8.326429487122303
N O O -11.128781994178727
N person person -6.74819284958946
NEW O * -11.136350341454156
NEW O O -13.713744494899883
NEW loc * -3.700439718141092
NEW loc O -8.011227255423254
NO O O -12.491352073563435
Need O * -10.136350341454156
Need O O -12.713744494899883
New O * -8.136350341454156
New O O -13.298706995621039
New facility O -6.569855608330948
New loc O -6.426264754702098
New other O -6.6147098441152075
Next O * -10.136350341454156
Next O O -12.491352073563435
Night O O -12.976778900733677
Night other other -8.326429487122303
Night person person -7.74819284958946
Night tvshow tvshow -3.954196310386876
No O * -8.551387840733
No O O -10.839275376983743
Not O * -8.551387840733
Not O O -12.298706995621039
Not other O -7.6147098441152075
Nov O O -12.298706995621039
November O O -12.491352073563435
Now O * -10.136350341454156
Now O O -11.976778900733677
OF O O -12.298706995621039
OMG O * -11.136350341454156
OMG O O -12.128781994178727
ON O O -11.598267277479946
ON O loc -8.03342300153745
ON loc O -8.011227255423254
OUT O O -12.128781994178727
Oct O * -11.136350341454156
Oct O O -12.298706995621039
October O O -11.2112441543707
Of O * -11.136350341454156
Of O O -13.298706995621039
Of other other -6.7414669864011465
Oh O * -7.966425340011844
Oh O O -12.491352073563435
Oh other O -7.6147098441152075
Okay O * -10.136350341454156
Okay O O -13.298706995621039
On O * -8.328995419396552
On O O -11.976778900733677
On other * -4.754887502163469
One O * -11.136350341454156
One O O -12.298706995621039
Only O * -10.136350341454156
Only O O -12.976778900733677
Our O * -8.328995419396552
Our O O -13.713744494899883
Our O person -7.778077129535358
Our other other -8.326429487122303
Out O O -12.976778900733677
Out musicartist musicartist -5.930737337562887
PM O O -12.713744494899883
Part O * -11.136350341454156
Part O O -11.39181640001252
Please O * -11.136350341454156
Please O O -12.713744494899883
Pope person * -4.523561956057013
Pope person O -5.473931188332413
Pretty O * -11.136350341454156
Pretty O O -13.298706995621039
Pretty tvshow O -5.08746284125034
RT O * -2.902730664694454
RT O O -8.822973564654642
RT O person -7.778077129535358
Really O * -9.551387840733
Really O O -13.713744494899883
S O O -12.713744494899883
SCHOOL O O -12.713744494899883
SHAWTY O O -12.713744494899883
SO O O -11.713744494899883
STOP STOP O 0.0
STOP STOP company 0.0
STOP STOP facility 0.0
STOP STOP loc 0.0
STOP STOP musicartist 0.0
STOP STOP other 0.0
STOP STOP person 0.0
STOP STOP product 0.0
STOP STOP sportsteam 0.0
STOP STOP tvshow 0.0
SUPPLY O O -12.713744494899883
Saturday O * -10.136350341454156
Saturday O O -10.839275376983743
Sep O O -12.713744494899883
Sep O facility -6.643856189774725
Sept O O -11.298706995621039
Sept O facility -6.643856189774725
Sept O musicartist -5.7279204545632
September O * -11.136350341454156
September O O -11.128781994178727
September O other -6.774787059601174
She O * -10.136350341454156
She O O -11.976778900733677
So O * -7.676918722816858
So O O -10.713744494899881
Sorry O O -12.298706995621039
St O O -14.298706995621039
St facility O -6.569855608330948
St loc O -7.011227255423254
St other * -4.754887502163469
St other O -6.6147098441152075
St other other -8.326429487122303
Still O * -10.136350341454156
Still O O -13.298706995621039
Sunday O * -11.136350341454156
Sunday O O -9.90638957284228
Super O O -13.298706995621039
Super company O -6.266786540694902
TALK O O -12.491352073563435
THE O O -11.713744494899883
THIS O O -12.713744494899883
TIME O O -12.128781994178727
TO O O -12.298706995621039
TO O other -7.774787059601174
TODAY O * -11.136350341454156
TODAY O O -12.976778900733677
TONIGHT O O -12.128781994178727
TONIGHT O facility -5.058893689053569
Thank O * -8.814422246566794
Thank O O -13.713744494899883
Thanks O * -9.136350341454156
Thanks O O -11.976778900733677
That O * -10.136350341454156
That O O -11.491352073563435
The O * -6.966425340011844
The O O -9.190182538842869
The O person -8.778077129535358
The facility * -3.0
The facility O -3.9848931076097918
The loc O -7.011227255423254
The movie * -0.9999999999999998
The movie O -3.2223924213364477
The movie movie -5.523561956057013
The musicartist * -1.3219280948873622
The musicartist musicartist -5.930737337562887
The other O -5.029747343394051
The other other -5.519074565064699
The product O -6.39231742277876
The product product -6.339850002884625
The sportsteam * -3.1699250014423126
The sportsteam O -5.357552004618084
The tvshow O -3.502500340529184
There O * -9.136350341454156
There O O -12.128781994178727
They O O -12.128781994178727
This O * -7.814422246566793
This O O -10.254312876262585
This other O -7.6147098441152075
Thursday O O -12.491352073563435
Time O * -8.814422246566794
Time O O -10.713744494899881
Time company * -4.08746284125034
Time musicartist musicartist -5.930737337562887
Time other other -6.7414669864011465
To O O -11.83927537698374
Today O * -6.814422246566793
Today O O -10.839275376983743
Tomorrow O * -9.136350341454156
Tomorrow O O -13.298706995621039
Tomorrow musicartist musicartist -4.930737337562887
Tonight O * -8.814422246566794
Tonight O O -11.976778900733677
Tonight O person -8.778077129535358
Tonight tvshow tvshow -4.954196310386876
Tour O O -13.298706995621039
Tour other other -6.7414669864011465
True O O -14.298706995621039
True other other -6.7414669864011465
True tvshow O -4.08746284125034
Try O O -10.976778900733677
Tuesday O O -12.298706995621039
Twitter company O -3.179323699444562
U O * -10.136350341454156
U O O -11.298706995621039
U loc O -8.011227255423254
Up O O -12.976778900733677
Up musicartist musicartist -5.930737337562887
Videos O O -15.298706995621039
Videos O company -4.366322214245815
WE O O -12.298706995621039
WHEN O O -11.298706995621039
WORTH O O -12.713744494899883
Way O O -13.713744494899883
Way other other -6.7414669864011465
We O * -8.814422246566794
We O O -10.344510685234162
We other O -7.6147098441152075
Week O O -11.2112441543707
Week other other -5.7414669864011465
Weekend O O -12.976778900733677
Weekend O loc -8.03342300153745
Weekend tvshow tvshow -4.954196310386876
Well O * -9.136350341454156
Well O O -11.713744494899883
What O * -7.229459745845637
What O O -10.654850805846316
When O * -7.676918722816858
When O O -9.51734728209638
Who O * -9.136350341454156
Who O O -12.976778900733677
Why O * -8.328995419396552
Why O O -12.713744494899883
Will O O -12.491352073563435
Will O person -8.778077129535358
With O * -11.136350341454156
With O O -12.298706995621039
With O product -6.569855608330948
With other O -7.6147098441152075
Woman O O -12.976778900733677
Woman O loc -8.03342300153745
Woman person person -7.74819284958946
XD O O -12.128781994178727
YALL O O -12.713744494899883
YOU O * -11.136350341454156
YOU O O -10.90638957284228
YOU musicartist musicartist -5.930737337562887
Yeah O O -12.298706995621039
Yes O * -11.136350341454156
Yes O O -11.83927537698374
You O * -8.136350341454156
You O O -9.839275376983743
You other other -8.326429487122303
You're O O -12.713744494899883
YouTube company O -3.6818240399737454
Your O * -11.136350341454156
Your O O -12.713744494899883
[ O * -10.136350341454156
[ O O -11.298706995621039
[ O person -8.778077129535358
] O O -11.128781994178727
a O O -5.841326116548503
a O loc -8.03342300153745
a O person -7.778077129535358
a other other -8.326429487122303
about O * -11.136350341454156
about O O -8.889316059483336
about O person -8.778077129535358
actually O O -11.598267277479946
after O O -9.01330477675879
after O loc -6.448460500816294
after O other -6.774787059601174
after product product -6.339850002884625
again O O -9.839275376983743
again O loc -8.03342300153745
again O movie -5.08746284125034
against O O -11.39181640001252
age O O -12.713744494899883
ago O O -10.254312876262585
ain't O O -12.713744494899883
all O O -8.3561924902818
all O other -6.774787059601174
all O person -8.778077129535358
almost O O -12.128781994178727
alone O O -12.713744494899883
along O O -12.491352073563435
already O O -10.839275376983743
also O O -11.83927537698374
always O O -10.775145039564027
always tvshow tvshow -4.954196310386876
am O O -10.39181640001252
amazing O O -11.83927537698374
an O O -9.344510685234162
an O person -8.778077129535358
and O * -11.136350341454156
and O O -6.581030572554644
and O company -5.781359713524659
and O facility -6.643856189774725
and O loc -4.863498000095138
and O musicartist -5.7279204545632
and O other -5.774787059601174
and O person -4.690614288285018
and O product -6.569855608330948
and movie movie -5.523561956057013
and musicartist musicartist -4.345774836841731
and other other -6.7414669864011465
and product product -6.339850002884625
and tvshow tvshow -4.954196310386876
another O O -11.713744494899883
any O O -10.839275376983743
anyone O * -11.136350341454156
anyone O O -11.83927537698374
anything O O -12.128781994178727
are O O -8.713744494899883
are O loc -7.03342300153745
are O musicartist -4.7279204545632
around O O -11.050779482177454
as O O -9.416063946259197
as O person -7.778077129535358
ask O O -11.39181640001252
asked O O -12.491352073563435
asked O person -7.778077129535358
ass O O -12.298706995621039
at O O -7.557240009219893
at O company -6.366322214245815
at O facility -4.643856189774725
at O loc -7.03342300153745
at O other -5.452858964713812
at O person -6.778077129535358
at O sportsteam -5.643856189774724
at other other -8.326429487122303
away O O -10.976778900733677
awesome O O -11.298706995621039
b O O -12.491352073563435
baby O O -11.491352073563435
back O * -11.136350341454156
back O O -9.440726000493466
bad O O -10.713744494899881
be O O -7.530522670844113
be O person -7.778077129535358
beat O O -12.976778900733677
beat O loc -8.03342300153745
beautiful O O -12.713744494899883
because O O -10.654850805846316
bed O O -11.491352073563435
been O * -10.136350341454156
been O O -9.232617805163267
been O company -6.366322214245815
before O * -11.136350341454156
before O O -9.050779482177454
before O facility -6.643856189774725
before O loc -8.03342300153745
before movie movie -5.523561956057013
being O O -10.976778900733677
believe O O -11.713744494899883
best O O -10.976778900733677
better O O -10.440726000493466
big O O -11.050779482177454
birthday O O -10.976778900733677
bit O O -11.83927537698374
blog O O -12.491352073563435
blog other other -7.326429487122303
book O O -11.83927537698374
bought O O -12.713744494899883
bout O O -12.491352073563435
boy O O -12.298706995621039
break O O -12.713744494899883
bring O O -12.298706995621039
bus O O -12.713744494899883
busy O O -12.128781994178727
but O O -8.2112441543707
buy O O -12.713744494899883
by O * -11.136350341454156
by O O -9.465816981456296
by O facility -6.643856189774725
by O other -7.774787059601174
by O product -5.569855608330948
c O O -11.598267277479946
call O O -10.976778900733677
called O O -12.491352073563435
came O O -12.713744494899883
came O person -8.778077129535358
can O O -8.889316059483336
can O facility -6.643856189774725
can't O O -10.90638957284228
cant O * -9.551387840733
cant O O -11.713744494899883
