duration,wage-increase-first-year,wage-increase-second-year,wage-increase-third-year,cost-of-living-adjustment,working-hours,pension,standby-pay,shift-differential,education-allowance,statutory-holidays,vacation,longterm-disability-assistance,contribution-to-dental-plan,bereavement-assistance,contribution-to-health-plan,class
3,4.582358,2.709528,1.2194,0,32.012816,2,2,3,0,13,2,1,1,1,2,1
2,2.962278,2.230458,1.37827,0,40,0,2,1.534175,0,9.62678,2,1,1,1,2,0
2,2.518004,5.818298,5,1,40,2,2,-11.074925,1,11,0,1,0,1,1,1
1,2.008112,2.046848,5,0,40,0,2,0.369903,0,11,0,0,1,1,1,0
2,2.828703,2.84311,5,0,36.499431,1,2,3,0,11,1,1,1,1,1,0
3,4.17763,4.659878,5,0,40,2,2,3,0,11,1,1,2,1,2,1
2,4.464349,4.335562,5,0,40,1,11.287233,1.793665,0,11,1,1,2,1,2,1
2,4.470476,4,5,0,37.828581,2,2,4,0,12,0,1,1,1,2,1
2,1.998276,2.467534,5,0,40,0,2,3,0,11,1,0,0,1,0,0
1,5.235871,2.435323,5,2,38.71878,0,8.840559,1.724352,0,9.079774,2,0,1,0,1,0
2,4.014607,4.480787,2.053571,2,40,2,2,3,0,9.887797,0,1,0,1,2,0
2,3.818734,2.910424,4.531403,0,35.039787,2,2,3,0,13,2,1,2,1,2,1
3,6.052559,4,5,0,34.204271,2,2,3,0,11,1,1,1,1,1,1
1,5.039058,4.721131,5,0,36.91875,2,2,4,0,10.06525,1,1,2,1,1,1
1,3.181161,4,5,0,40,2,2,4,1,11,0,1,1,1,1,1
3,4.084603,4,2.627844,0,40,2,2,0.905995,0,9.298504,1,1,1,1,2,1
2,4.511841,4,5,1,40,2,2,5,0,12,1,1,2,1,2,1
2,2.01489,4,5,0,40,2,2,3,0,9.956061,1,0,0,0,0,0
2,4.486826,5.021496,5,0,40,2,2,4,1,11,0,1,1,1,2,1
2,2.532457,2.987752,5,2,40,0,2,3,0,11,0,1,1,1,0,0
2,2.718105,3.406799,3.759844,2,40,0,2,3,0,13,0,1,0,1,2,0
1,2.597368,4,5,0,35.121052,2,2,1.224736,1,11,1,1,1,1,2,1
1,1.993408,4.627055,5,0,38.513163,2,2,4,1,9.792192,1,1,0,1,1,1
2,5.944004,4.443674,5.1,0,37.552807,2,2,3,0,13,2,1,2,1,2,1
2,2.032324,4.442866,5,0,40,1,2,3,0,10.737661,0,0,0,1,0,0
2,5.404072,1.822328,5,1,36.234404,2,2,5,0,9.828882,0,1,2,1,2,1
1,2.11411,4,5,0,40,0,2,3,1,9.426984,1,0,0,1,0,0
2,3.900614,5.768277,5,0,38.23369,2,2,5,0,11,1,1,1,1,2,1
1,4.410205,4.530624,5,2,40,0,2,3,0,11,0,0,1,1,1,0
2,2.009493,2.444001,5,2,40,2,2,3,0,12,0,1,0,1,2,0
3,2.002258,2.302497,1.52675,0,40,0,2,2.215691,0,12,0,1,1,1,0,0
1,4.457928,3.531314,5,0,37.943541,2,2,4,0,10.293319,0,0,1,1,1,0
2,4.431602,4.744367,5,1,40,2,2,3,1,12,2,1,2,1,2,1
2,2.655238,2.362586,5,0,40,2,2,3,0,9.641068,1,1,2,1,0,0
3,3.763587,3.222229,5,1,38.048212,2,10,4,0,11,2,1,1,1,1,1
2,5.726856,4,5,0,40,1,2,3,0,13,1,1,1,1,2,1
2,4.384573,4,5,0,33.49448,2,2,5,0,11,2,1,1,1,2,1
3,6.172199,4.562763,4.647931,0,37.958315,1,2,4,0,13,2,1,1,1,2,1
2,2.784819,2.934703,5,2,37.741521,0,2,3,0,10.331976,1,0,1,0,1,0
3,3.981556,6.193688,5,0,34.868437,2,2,3,0,11,2,1,2,1,2,1
3,1.975125,4,5,2,35.828111,2,2,3,1,12,2,1,1,1,1,1
2,3.802656,4,2.078583,1,40,2,6.349638,4,0,10.053602,0,1,0,1,0,0
1,4.566192,2.514905,2.038562,0,40,2,10,7.803255,0,11,2,1,1,1,2,1
1,2.005985,4,5,0,31.249333,2,2,3,0,11,2,0,1,0,2,0
2,2.562501,2.269982,5,2,40,0,2,3,0,12,0,1,1,1,2,0
1,2.856685,4,5,0,38.229322,2,2,4,1,11,0,1,1,1,2,1
2,1.991504,5.189504,5,1,40,2,2,3.62092,0,11,2,1,1,1,1,1
3,6.119648,2.980826,5,1,34.528623,2,2,1.393767,0,12,0,1,2,1,2,1
3,2.666317,4,5,2,40,0,14,5.497386,0,12,1,0,1,1,1,0
2,3.818467,2.993725,5,1,40,2,12.976374,4,1,11,2,1,0,1,1,1
3,3.957297,4.404292,5,0,37.509128,2,2,4,0,11,2,1,2,1,2,1
2,4.481573,4,4.570634,0,36.783754,0,2,5,0,9.448813,2,1,1,1,2,1
2,4.44035,4,5.1,0,40,1,2,3,0,11,0,1,1,1,2,0
3,2.648627,4.416994,5,0,40,2,14,5,0,9.7884,2,0,1,1,1,0
3,3.803119,4,4.616361,1,36.616577,2,12.631078,18.307946,1,13,2,1,0,1,1,1
3,3.644408,4,5,0,40,1,2,3,0,11,1,1,1,1,2,1
2,4.51422,4.477772,5,2,40,2,2,4,0,10.015481,2,1,1,1,2,1
2,2.710996,3.194005,5,1,37.307678,0,2,3,0,11,0,0,1,0,1,0
2,3.957201,5.85425,5,0,40,2,2,0.185292,0,12,1,1,2,1,2,1
3,4.519403,1.956289,1.318016,2,38.123019,2,2,3,1,10.470523,2,1,1,1,1,1
3,6.060045,3.214954,5,0,38.410183,2,2,17.6523,0,11,2,1,1,1,2,1
2,2.220187,4,5,0,40,0,2,3,1,9.277108,1,0,0,1,0,0
3,2.953979,4.48493,5,0,40,1,2,3,0,8.964024,0,0,1,1,1,0
2,4.494978,4,5,0,38.509125,2,10,4.431394,0,12,0,1,2,1,2,1
3,5.301687,4.456812,5,0,32.705457,2,2,0.678166,0,12,2,1,1,1,2,1
2,4.187058,3.438615,5,0,40,0,2,3,0,10.163251,0,1,1,1,2,0
2,4.632245,4.41232,5,0,37.255511,2,2,3,0,15,1,1,1,1,2,1
3,5.513041,4.352475,5,0,37.989458,2,2,5,1,11,0,1,1,1,2,1
1,2.819099,4,5,2,34.398203,2,2,3,0,12,2,1,1,1,0,1
3,7.332734,4.412457,5,0,40,2,2,4,0,12,1,1,2,1,2,1
1,2.56764,2.137499,5,0,40,2,2,1.127694,0,9.468704,0,1,1,1,1,0
2,3.613134,4,5,0,40,0,2,3,0,10.254823,0,1,1,1,1,0
2,2.879429,2.268793,5,0,40,2,2,1.324448,0,11,0,0,1,0,2,0
2,2.78242,2.300562,5,0,40,0,14,19.840616,0,11,1,1,1,1,2,0
2,4.559144,4.546091,5,0,34.872978,2,2,3,1,11,2,1,1,1,2,1
1,3.034356,4,5,0,37.265029,2,2,5.50857,0,11,2,1,1,1,2,1
3,4.52734,3.240543,2.01001,2,40,2,11.387772,5,1,13,1,1,0,1,1,1
3,3.613055,2.960202,5,0,34.667014,2,2,3,0,11,2,1,1,1,1,1
3,6.584739,4.388816,5,1,37.4766,2,2,4,0,11,1,1,0,1,1,1
2,4.570383,4.476975,5,0,32.870184,2,2,3,1,15,0,1,1,1,2,1
2,3.666631,4,5,0,37.473885,0,2,3,0,9.21109,2,1,1,1,2,0
2,3.791376,4.439928,5,0,40,1,2,3,0,12,0,1,1,1,2,0
2,2.646639,2.298353,5,2,38.003363,0,2,3,0,9.021406,0,1,1,1,2,0
1,2.575322,2.900545,5,1,31.299548,2,2,4,1,12,2,1,1,1,2,1
2,2.895561,3.726836,5,0,40,0,2,1.130398,0,11,0,1,1,1,2,0
1,2.001805,2.843283,5,0,40,0,2,3,0,11,0,0,1,1,2,0
1,2.863897,4,5,0,38.243154,0,2,1.76219,0,10.101861,1,0,1,1,1,0
2,2.670245,4.546756,5,2,40,2,10,-1.924305,0,9.415997,0,1,1,1,2,0
1,2.050193,4,5,0,38.0735,0,2,6.487573,0,11,1,1,1,1,0,0
3,3.770502,4,5,0,32.697717,2,2,3,0,15,0,1,2,1,2,1
2,3.850121,2.060948,5,0,40,0,2,5,0,10.422543,0,1,1,1,2,0
1,3.621795,4.521861,5.1,0,40,1,2,21.533099,0,15,0,1,2,1,2,1
2,4.498062,4.421429,5,0,40,2,2,5,1,11,0,1,1,1,1,1
2,4.460039,3.086807,5,0,32.289946,2,2,4,1,11,1,1,1,1,2,1
2,3.619753,4,5,2,37.693972,0,2,3,0,11,1,1,1,1,2,0
1,3.203363,3.248977,4.500513,1,37.104358,2,2,3,1,13,0,1,1,1,2,1
2,2.857285,2.268904,1.978616,0,40,2,2,4,0,12,0,1,0,1,2,0
3,2.087223,2.317492,5,1,40,2,13.093833,5,1,10.698067,1,0,2,1,1,0
1,4.155182,2.259538,5,0,39,0,2,3,1,9.2251,1,1,0,1,2,0
1,2.016223,2.334551,5,0,37.941453,2,2,0.729362,1,12,0,1,1,1,1,1
3,6.397408,5.870559,4.624789,1,37.152347,2,2,3,0,15,0,1,1,1,0,1
1,2.989696,2.481212,5,1,37.679789,2,10,7.581832,0,11,2,1,1,1,1,1
3,4.441841,4.573548,5,0,40,1,2,3,1,15,0,1,2,1,2,1
2,3.745263,2.911061,2.875064,1,33.750352,2,2,3,0,12,0,1,2,1,2,1
2,5.671471,5.073768,5,0,40,2,10,3,0,11,2,1,1,1,2,1
3,4.598025,4,1.970415,0,32.606944,2,2,3,0,11,0,1,2,1,2,1
2,3.715078,3.033604,5,0,37.37819,0,2,3,1,10.006884,0,0,0,1,0,0
2,6.549571,4,5,0,40,2,10,5,0,11,0,1,2,1,2,1
1,2.012971,2.447154,5,1,40,2,2,1.716808,1,11,0,1,2,1,2,1
2,4.420849,4,5,0,38.52926,2,2,5,0,12,1,1,1,1,2,1
2,4.11429,5.904456,5,0,37.70802,2,2,4,1,12,2,1,1,1,2,1
2,4.451949,5.432136,5,0,40,2,2,5,0,10.035647,1,1,2,1,2,1
3,3.346507,4,5,0,34.49117,2,2,3.58412,1,11,1,1,0,1,1,1
3,3.888541,4,5,0,40,2,2,3,0,11,0,1,0,1,1,1
2,4.483115,2.561937,5,2,37.817669,1,2,3,1,11,1,1,0,1,2,0
2,4.461671,4.635525,2.383204,0,37.494084,2,2,5,0,11,1,1,1,1,2,1
2,1.965525,3.124776,5,0,40,2,2,3,1,9.654223,1,1,0,1,2,0
3,3.622725,4,5,0,40,2,5.216836,4,1,11,1,1,1,1,2,1
3,3.841277,4,5,0,36.824099,2,2,3,0,10.169784,2,1,2,1,1,1
2,4.327674,4.515776,5,0,38.531277,2,2,3,0,11,1,0,1,0,1,0
2,5.245692,4,5.1,0,40,2,2,3,0,9.463213,1,1,1,1,2,1
2,4.062446,5.519671,5,0,40,1,2,5,0,11,2,1,2,1,2,1
2,5.05195,4.541112,5,0,37.342256,2,2,5,0,11,2,1,1,1,2,1
2,2.023233,2.338929,5,0,36.215726,1,2,3,1,11,1,1,1,1,1,1
2,4.606833,4,5,0,37.372838,2,2,4,1,11,0,1,2,1,2,1
2,3.711431,5.402209,5,1,40,2,14,5,0,11,0,1,2,1,2,1
1,2.62159,4.465359,5,0,36.540679,2,2,0.134326,0,11,0,1,2,1,2,1
3,6.146909,2.076454,5,0,27.957821,1,2,2.639516,0,11,2,1,2,1,0,1
3,5.806724,4.67183,5,0,40,2,14,4,0,9.605117,2,1,0,1,1,1
3,2.038766,2.699721,5,0,40,0,2,5,0,10.01458,0,1,1,1,0,0
1,5.965573,2.903749,5,2,40,2,2,4,0,11,0,1,1,1,2,0
3,3.522952,3.066902,5,0,40,2,2,3,0,11,0,1,1,1,2,1
3,5.724543,2.469884,5,0,40,0,2,3,0,11,0,1,1,1,2,0
3,4.520504,3.107343,1.964325,0,38.37325,2,2,12.744045,0,15,0,1,2,1,2,1
1,6.788572,4.344834,5,0,38.137699,1,2,8.198622,0,12,2,1,1,1,2,1
2,4.543619,4,5,0,40,2,2,1.911362,0,10.177843,1,1,1,1,2,1
2,2.241509,2.489612,5,0,38.427455,2,2,3,0,11,0,0,1,1,1,0
2,4.422862,5.764054,5,0,38.748895,2,2,3,0,11,2,1,1,1,2,1
2,4.450496,4,5,0,29.513318,2,2,3,1,15,1,1,2,1,2,1
3,3.613972,4,5,0,32.545204,2,2,4,1,11,0,1,1,1,2,1
2,2.849886,2.941105,5,0,40,2,2,1.060886,1,11,0,1,2,1,1,1
3,5.422833,3.25828,5,0,40,2,2,3,0,11,1,1,1,1,2,1
1,5.547782,4,5,0,40,2,2,1.322242,0,12,1,1,2,1,2,1
2,4.104746,4.727247,5,0,40,2,2,4,1,12,0,1,1,1,1,1
3,2.652173,4.500127,5,0,40,2,13.382771,3,0,11,0,0,2,0,2,1
2,3.895175,5.252672,5,0,40,1,2,3,0,10.08988,1,1,1,1,2,0
3,5.371808,4.386329,5,0,40,2,2,3,0,11,1,1,2,1,2,1
3,3.942747,4,5,0,40,2,2,3,0,11,1,1,1,1,2,1
3,2.011869,2.155806,5,2,32.927431,0,2,3,1,13,0,1,2,1,0,0
2,3.9058,5.319817,4.466063,0,40,2,2,3,0,13,1,1,1,1,2,1
1,3.100646,4,5,1,37.594207,2,2,14.316636,0,11,0,1,1,1,2,1
2,4.393612,4.724884,5,1,40,2,11.465595,5,1,15,0,1,1,1,2,1
1,3.11676,4.584688,5,2,40,2,2,1.000524,0,12,0,0,1,1,2,0
1,4.262127,2.70063,5,0,37.922523,2,2,5,0,9.847946,2,1,1,1,2,0
2,2.301269,2.666065,5,0,40,0,2,3,0,15,0,1,0,1,2,0
2,3.673633,4.717565,2.100683,2,35.019718,2,2,3,0,12,1,1,0,1,1,0
2,5.363682,6.114481,5,0,30.675524,1,2,3,0,11,1,1,0,1,1,1
3,2.763438,4,5.1,0,40,2,2,3,1,11,2,1,2,1,2,1
3,2.067026,2.36222,5,2,40,2,2,3,0,10.525579,0,1,0,1,2,0
2,5.908799,4.577257,5,1,40,2,2,5,0,12,1,1,1,1,2,1
3,5.65272,4,5,0,37.03638,2,2,-2.785532,0,11,0,1,1,1,2,1
2,3.789942,4,5,0,37.494377,0,14,20.877235,0,9.723619,0,1,1,1,1,0
1,2.019707,4.898818,2.817253,0,34.580253,2,2,0.675792,1,12,0,1,0,1,0,1
2,4.445812,5.490239,5,0,40,2,2,3,0,11,2,1,0,1,2,0
3,1.945373,3.265176,5,0,40,0,10,3,0,12,0,0,1,1,1,0
3,3.762617,4,5,2,31.046562,2,2,3,0,15,1,1,2,1,1,1
1,4.672774,2.837687,5,2,40,0,2,1.613134,0,9.747192,1,1,2,1,1,1
2,4.460863,4,5,1,40,2,2,5,0,11,0,1,2,1,2,1
2,1.988386,2.991952,5,1,37.927618,1,14,2.815038,0,12,0,1,1,1,2,1
1,3.688122,5.130294,5,2,40,2,2,3,0,12,0,1,0,1,2,0
3,4.024614,4,5,0,33.298882,2,7.849827,4,0,11,0,1,1,1,2,1
3,3.827757,4,5,0,37.764793,2,2,4,0,15,2,1,1,1,1,1
3,3.72158,4,5,0,37.227172,2,14,1.471977,0,11,0,1,1,1,2,1
2,4.473984,4.549501,5,0,34.575482,2,2,3,0,11,0,1,1,1,1,1
2,6.385417,4.540561,5,0,30.924082,2,2,3,0,11,2,1,1,1,2,1
2,2.752294,2.381651,5,2,38.075558,0,2,3,0,11,0,1,1,1,2,0
2,3.543036,3.013748,5,2,40,2,2,3,1,11,1,1,0,1,2,0
3,2.851436,2.321906,5,0,40,2,2,1.66665,0,8.601819,0,0,2,0,2,0
2,3.954774,5.713596,5.1,0,40,2,2,3,0,15,0,0,1,0,1,0
3,6.421177,5.456496,5,1,37.514876,2,2,4,0,11,0,1,1,1,2,1
3,5.621002,4.618163,5,0,37.099459,2,2,0.920765,0,15,0,1,2,1,2,1
2,3.617234,6.005612,4.666058,0,33.367377,2,12.271139,5,0,11,2,1,2,1,2,1
3,4.507533,4.499813,5.1,0,40,2,2,3,0,15,1,1,1,1,2,1
3,1.981211,2.633232,5,0,35.420243,0,2,1.590937,1,9.072926,0,1,0,1,2,0
1,5.594739,4.280354,5,0,33.306155,2,2,8.952971,0,12,0,1,1,1,2,1
2,4.385858,4,5,0,40,2,2,4,0,11,1,1,1,1,2,1
2,1.978738,2.441117,5,0,34.765171,2,2,4,1,11,0,1,2,1,2,1
2,3.962727,4,5,0,40,0,2,4,1,11,1,0,1,1,1,0
2,3.475376,2.382925,5,0,40,0,2,0.87331,0,12,0,1,1,1,2,0
2,5.800109,2.441134,5,0,40,0,2,3,1,9.704466,1,0,0,1,0,0
3,6.868559,5.605135,5,0,40,2,2,3,0,9.543766,1,0,2,1,1,1
3,3.845514,2.274906,5,0,37.729629,2,2,3,0,12,0,1,2,1,2,1
3,6.31934,4.458696,5,0,37.2573,2,2,3,0,11,1,1,2,1,2,1
2,4.401279,5.312047,5,0,37.98503,2,2,5,0,11,2,1,2,1,2,1
2,4.50371,4,5,0,38.028411,2,2,4,0,11,1,1,0,1,1,1
2,4.488738,5.31627,5,0,32.848924,2,2,3,0,11,2,1,1,1,2,1
2,2.749852,3.311687,5,0,40,2,2,3,1,11,0,1,0,1,1,1
3,3.383719,4,5,2,40,2,2,4,0,11,2,1,1,1,2,1
2,5.538045,4.464811,4.44342,0,40,2,2,4,0,13,0,1,2,1,2,1
1,3.7814,4,5,2,38.216788,2,14,4,0,15,0,1,2,1,1,1
2,4.051283,4,5,2,37.598085,1,2,3,0,12,1,1,0,1,1,0
3,2.483433,4,5,0,40,2,14,3,0,11,1,0,1,1,0,0
1,6.257506,4,5,0,40,1,2,0.303299,0,11,1,1,2,1,2,1
1,2.651698,2.213619,5,2,40,0,2,3,0,9.263519,0,0,1,1,2,0
2,2.649583,4,5,0,38.117032,2,9.076504,3,0,9.851158,0,0,1,1,2,0
2,2.531908,6.640401,5,1,37.472058,2,13.713948,2.028624,0,11,1,1,2,1,2,1
2,1.998391,3.210643,5,0,37.565247,1,10.835627,5,0,9.286122,1,0,1,0,1,0
3,3.558341,4,5.1,0,37.819878,2,2,3,0,12,0,1,2,1,2,1
2,4.549236,4,5,0,39,2,2,4,0,9.546927,1,1,2,1,1,1
2,4.515206,4,5,0,36.327828,2,14,3,1,11,2,1,2,1,2,1
3,3.837405,4,5,1,36.644153,2,2,3,0,11,2,1,2,1,2,1
2,5.154133,2.670435,5.1,0,32.017077,2,10,3,0,9.436601,1,1,2,1,2,1
3,3.484144,4,5,0,40,2,2,3.864536,0,9.060679,1,1,2,1,0,1
3,5.45577,5.043416,5,0,40,2,2,3,0,11,1,1,1,1,2,1
3,5.453199,3.311263,2.609094,0,38.431226,0,2,3,0,11,2,1,1,1,2,1
1,3.51773,4.960963,2.457118,0,38.481008,1,2,3,0,9.997982,1,0,1,0,2,0
3,3.851598,4,5,0,32.074811,2,2,7.31221,1,11,1,1,2,1,2,1
2,2.502451,4.483434,5,2,40,0,2,3,0,11,0,1,1,1,2,0
1,4.5906,4,5,0,40,2,2,18.341702,0,9.529553,1,1,2,1,1,1
1,3.446882,4.365944,2.11523,1,40,1,2,3,0,9.236874,0,0,1,1,2,0
2,3.819288,4.853239,5,0,40.085601,2,2,3,0,11,1,1,2,1,2,1
2,6.374923,3.225519,5,0,40,2,2,5,0,15,2,1,1,1,2,1
3,5.610307,4.39566,5,0,37.939159,0,2,3,0,11,1,0,1,0,1,0
3,3.973922,4,5,0,32.742066,2,2,3,1,15,0,1,1,1,1,1
3,1.985474,3.185437,5,0,40,2,2,4,0,11,1,1,1,1,2,1
1,2.022863,4,5,0,40,2,2,3,0,12,0,0,0,1,0,0
1,2.690606,4,5,0,38.022723,2,2,2.200131,1,11,0,1,1,1,2,1
2,6.168825,4.433546,5,0,40,1,2,4,0,11,1,1,0,1,0,1
2,3.168524,2.15688,5,0,40,0,2,3,0,10.499649,0,0,1,1,1,0
2,2.642276,2.66026,5,1,37.432916,2,2,-6.781255,1,11,0,1,2,1,2,1
3,3.824781,3.530727,5,0,40,2,10,14.836331,0,9.786132,1,1,1,1,2,1
2,4.419117,2.156487,4.631953,0,38.086944,2,2,3,1,11,1,1,1,1,2,1
1,2.350646,2.64857,2.001407,0,37.454278,0,14,3,0,15,0,0,1,1,1,0
2,3.899241,4,5,0,40,2,2,5,0,15,1,1,1,1,2,1
2,2.806219,3.024269,5,0,40,2,2,5,0,12,1,1,1,1,1,1
2,4.483869,2.06397,5,0,37.127857,0,2,3,0,9.839683,1,1,1,1,2,0
2,5.336597,2.163044,5,0,38.573829,0,2,4,0,11,0,1,0,1,2,0
2,2.028248,4.584752,2.004642,2,40,0,2,2.111421,0,9.781432,0,1,0,1,2,0
3,4.01133,4,2.189807,0,38.230447,2,2,3,0,11,2,1,2,1,2,1
3,5.353783,2.498317,5,1,37.308995,0,2,2.978825,1,10.130069,1,0,0,0,0,0
2,2.469256,2.969144,5,0,40,2,2,3,1,11,0,1,1,1,2,1
3,4.054599,4.679703,5,0,34.725402,2,2,4.723088,0,11,2,1,2,1,2,1
3,5.268182,4.640256,5,0,37.841554,2,2,3,0,11,0,1,1,1,2,1
3,2.032516,2.685198,5,0,37.641785,2,2,3,0,11,0,1,1,1,2,0
2,2.540809,4.596616,5,0,40,2,14,5,0,11,2,1,1,1,2,1
3,3.7693,3.013923,5,0,40,2,2,3,1,12,0,1,0,1,1,1
2,4.376164,6.398785,5,0,38.064955,2,2,4,1,11,1,1,1,1,2,1
3,2.032947,1.901535,5,0,40,2,2,2.255954,1,11,2,1,1,1,2,0
2,3.451305,4,2.066397,0,37.456897,2,2,3,1,9.190175,2,0,0,1,0,0
3,4.812459,4.31461,5,1,37.867765,2,2,3,0,8.987308,0,1,1,1,2,1
2,4.513872,4,5,0,34.843477,2,2,5.605736,0,12,0,1,2,1,2,1
1,7.269146,2.1217,5,0,37.298445,0,2,3,1,11,2,1,0,1,2,0
2,2.680571,3.209302,5,0,40,1,2,4,0,8.870354,1,1,1,1,2,0
2,3.324892,4.784387,5,0,38.407161,2,2,4,0,15,0,1,1,1,2,1
2,2.017022,4,4.482227,1,30.474381,2,2,5,1,12,0,1,2,1,1,1
1,4.442681,5.234742,5,0,40,2,2,3,0,11,2,0,2,1,2,0
2,2.846604,4.829296,5,0,38.366849,0,2,3,0,11,0,0,1,0,1,0
1,2.867984,2.802178,5,0,40,0,2,3,0,9.673871,0,0,1,1,2,0
2,4.500497,4,5,0,40,2,10,5,0,12,1,1,1,1,2,1
2,3.858159,5.695406,5,0,40,2,2,4,0,15,1,1,1,1,2,1
2,2.634766,3.034513,5,0,37.748869,0,10,4,0,11,0,1,0,1,2,0
1,3.113198,2.525114,5,0,37.403813,0,10,0.865159,0,11,0,1,0,1,1,0
1,4.510211,3.277014,5,0,36.45184,2,2,3,0,12,2,1,2,1,2,1
3,3.985293,4,5,0,33.853063,2,2,3,0,11,2,1,1,1,2,1
2,3.522332,6.615091,5,2,40,0,2,3,0,9.749547,0,0,1,0,1,0
3,5.354315,5.817446,5,0,40,2,2,3,0,11,1,1,2,1,2,1
2,5.618412,4.423935,5,0,40,0,2,3,0,15,0,0,1,1,1,0
2,4.949172,4.51582,3.918027,1,38.212369,2,2,3,0,12,1,1,2,1,2,1
1,1.984202,2.958857,5,0,40,2,2,3,0,11,0,1,1,1,2,0
3,3.316898,4,5,0,34.04159,2,2,3,0,12,1,1,2,1,2,1
3,5.646565,4.506182,5,0,40,2,2,4,0,9.009341,1,1,2,1,2,1
2,5.165997,4.723072,5,0,40,1,2,1.280856,0,11,0,1,2,1,2,1
1,2.039258,4,5,0,38.050083,0,2,3,0,9.5588,0,1,1,1,2,0
3,3.507201,2.569114,5,0,40,2,2,4,0,9.996998,2,1,1,1,2,1
3,2.02586,4,5,2,40,0,2,0.53893,0,11,0,1,1,1,0,0
2,2.635613,2.935471,4.598235,0,40,0,2,3,0,13,0,1,1,1,1,0
3,4.414486,4.41541,5,1,40,2,14,4,1,9.458392,0,1,0,1,2,1
2,3.896335,5.916677,5.1,0,37.223149,2,2,3,0,11,1,1,0,1,2,0
2,4.540214,4,5,0,40,2,11.270041,0.282791,0,11,2,1,2,1,2,1
2,3.464381,4,5,0,37.551892,2,11.923563,5,1,8.577591,0,1,0,1,1,1
2,5.505839,4.396684,5.051918,0,33.462392,2,12.953881,4,0,11,0,1,1,1,2,1
2,1.945317,7.034674,5,0,37.198035,2,2,4,0,11,0,1,1,1,2,1
2,4.456641,4,5,0,40,2,2,17.11296,0,9.661573,2,1,2,1,2,1
3,5.759419,2.316964,5,0,37.871689,0,2,3,0,9.883706,1,1,0,1,2,0
2,2.911214,5.264022,2.023562,0,40,2,2,5,0,13,1,1,2,1,2,1
1,4.733657,3.190675,5,0,28.467274,2,2,4,0,11,0,1,2,1,2,1
1,5.35781,4,5,0,40,2,2,1.545663,0,11,1,1,2,1,2,1
3,3.668755,4,4.507438,0,40,2,2,3,0,15,0,1,2,1,2,1
3,4.519021,4.664819,5,0,40,2,2,3,0,15,1,1,2,1,2,1
3,5.09553,3.322786,5,0,40,2,2,3,0,9.733147,0,1,2,1,2,1
2,4.52759,4,5,0,40,1,2,3,0,11,0,0,0,1,0,0
3,2.015769,2.737369,5,0,40,2,2,4,0,11,1,1,1,1,0,0
1,5.823745,5.10355,5,2,37.862311,1,2,1.79428,0,11,0,1,1,1,2,1
2,6.603267,5.831945,5,0,40,2,2,4,0,12,1,1,2,1,2,1
2,4.493409,4,5,0,37.114232,2,2,5,0,15,2,1,1,1,2,1
1,5.962378,4,5,0,40,2,2,2.694682,0,12,1,1,2,1,2,1
